,satellite,annotation,image,mask1,num_fire_pixels,category,set,fold
0,sentinel,manual,T52WES_20200812T025549_20m_stack_s256_p00353.tif,T52WES_20200812T025549_20m_stack_maskf_s256_p00353.tif,0,sentinel_no-fire,train,1
1,sentinel,manual,T37TEN_20200808T081609_20m_stack_s256_p00299.tif,T37TEN_20200808T081609_20m_stack_maskf_s256_p00299.tif,0,sentinel_no-fire,train,1
2,sentinel,manual,T49WFM_20200825T035541_20m_stack_s256_p00060.tif,T49WFM_20200825T035541_20m_stack_maskf_s256_p00060.tif,0,sentinel_no-fire,train,1
3,sentinel,manual,T16SCD_20200815T162839_20m_stack_s256_p00193.tif,T16SCD_20200815T162839_20m_stack_maskf_s256_p00193.tif,0,sentinel_no-fire,train,1
4,sentinel,manual,T55HGV_20200827T000251_20m_stack_s256_p00403.tif,T55HGV_20200827T000251_20m_stack_maskf_s256_p00403.tif,0,sentinel_no-fire,train,1
5,sentinel,manual,T20JQR_20200827T141049_20m_stack_s256_p00401.tif,T20JQR_20200827T141049_20m_stack_maskf_s256_p00401.tif,0,sentinel_no-fire,train,1
6,sentinel,manual,T21WXU_20200825T153911_20m_stack_s256_p00089.tif,T21WXU_20200825T153911_20m_stack_maskf_s256_p00089.tif,0,sentinel_no-fire,train,1
7,sentinel,manual,T52VFQ_20200821T023551_20m_stack_s256_p00362.tif,T52VFQ_20200821T023551_20m_stack_maskf_s256_p00362.tif,0,sentinel_no-fire,train,1
8,sentinel,manual,T50TLK_20200810T030551_20m_stack_s256_p00246.tif,T50TLK_20200810T030551_20m_stack_maskf_s256_p00246.tif,0,sentinel_no-fire,train,1
9,sentinel,manual,T49WFM_20200825T035541_20m_stack_s256_p00012.tif,T49WFM_20200825T035541_20m_stack_maskf_s256_p00012.tif,0,sentinel_no-fire,train,1
10,sentinel,manual,T12TUQ_20200813T181931_20m_stack_s256_p00130.tif,T12TUQ_20200813T181931_20m_stack_maskf_s256_p00130.tif,0,sentinel_no-fire,train,1
11,sentinel,manual,T52WES_20200812T025549_20m_stack_s256_p00127.tif,T52WES_20200812T025549_20m_stack_maskf_s256_p00127.tif,0,sentinel_no-fire,train,1
12,sentinel,manual,T20JQR_20200827T141049_20m_stack_s256_p00241.tif,T20JQR_20200827T141049_20m_stack_maskf_s256_p00241.tif,0,sentinel_no-fire,train,1
13,sentinel,manual,T38SPA_20200823T072619_20m_stack_s256_p00044.tif,T38SPA_20200823T072619_20m_stack_maskf_s256_p00044.tif,0,sentinel_no-fire,train,1
14,sentinel,manual,T50TLK_20200810T030551_20m_stack_s256_p00330.tif,T50TLK_20200810T030551_20m_stack_maskf_s256_p00330.tif,0,sentinel_no-fire,train,1
15,sentinel,manual,T38SPA_20200823T072619_20m_stack_s256_p00415.tif,T38SPA_20200823T072619_20m_stack_maskf_s256_p00415.tif,0,sentinel_no-fire,train,1
16,sentinel,manual,T52LFL_20200812T013719_20m_stack_s256_p00441.tif,T52LFL_20200812T013719_20m_stack_maskf_s256_p00441.tif,0,sentinel_no-fire,train,1
17,sentinel,manual,T19FDA_20200827T141049_20m_stack_s256_p00358.tif,T19FDA_20200827T141049_20m_stack_maskf_s256_p00358.tif,0,sentinel_no-fire,train,1
18,sentinel,manual,T39TWN_20200823T072619_20m_stack_s256_p00279.tif,T39TWN_20200823T072619_20m_stack_maskf_s256_p00279.tif,0,sentinel_no-fire,train,1
19,sentinel,manual,T52WES_20200812T025549_20m_stack_s256_p00354.tif,T52WES_20200812T025549_20m_stack_maskf_s256_p00354.tif,0,sentinel_no-fire,train,1
20,sentinel,manual,T47RPJ_20200827T034539_20m_stack_s256_p00030.tif,T47RPJ_20200827T034539_20m_stack_maskf_s256_p00030.tif,0,sentinel_no-fire,train,1
21,sentinel,manual,T38SPA_20200823T072619_20m_stack_s256_p00349.tif,T38SPA_20200823T072619_20m_stack_maskf_s256_p00349.tif,0,sentinel_no-fire,train,1
22,sentinel,manual,T20JQR_20200827T141049_20m_stack_s256_p00180.tif,T20JQR_20200827T141049_20m_stack_maskf_s256_p00180.tif,0,sentinel_no-fire,train,1
23,sentinel,manual,T39UXT_20200823T072619_20m_stack_s256_p00217.tif,T39UXT_20200823T072619_20m_stack_maskf_s256_p00217.tif,0,sentinel_no-fire,train,1
24,sentinel,manual,T47RPJ_20200827T034539_20m_stack_s256_p00218.tif,T47RPJ_20200827T034539_20m_stack_maskf_s256_p00218.tif,0,sentinel_no-fire,train,1
25,sentinel,manual,T38SPA_20200823T072619_20m_stack_s256_p00229.tif,T38SPA_20200823T072619_20m_stack_maskf_s256_p00229.tif,13,sentinel_fire,train,1
26,sentinel,manual,T20JQR_20200827T141049_20m_stack_s256_p00317.tif,T20JQR_20200827T141049_20m_stack_maskf_s256_p00317.tif,1,sentinel_fire,train,1
27,sentinel,manual,T43TGH_20200825T053651_20m_stack_s256_p00231.tif,T43TGH_20200825T053651_20m_stack_maskf_s256_p00231.tif,0,sentinel_no-fire,train,1
28,sentinel,manual,T52WES_20200812T025549_20m_stack_s256_p00150.tif,T52WES_20200812T025549_20m_stack_maskf_s256_p00150.tif,0,sentinel_no-fire,train,1
29,sentinel,manual,T19FDA_20200827T141049_20m_stack_s256_p00060.tif,T19FDA_20200827T141049_20m_stack_maskf_s256_p00060.tif,0,sentinel_no-fire,train,1
30,sentinel,manual,T20JQR_20200827T141049_20m_stack_s256_p00405.tif,T20JQR_20200827T141049_20m_stack_maskf_s256_p00405.tif,0,sentinel_no-fire,train,1
31,sentinel,manual,T52WES_20200812T025549_20m_stack_s256_p00245.tif,T52WES_20200812T025549_20m_stack_maskf_s256_p00245.tif,0,sentinel_no-fire,train,1
32,sentinel,manual,T35ULR_20200821T092031_20m_stack_s256_p00395.tif,T35ULR_20200821T092031_20m_stack_maskf_s256_p00395.tif,0,sentinel_no-fire,train,1
33,sentinel,manual,T39UXT_20200823T072619_20m_stack_s256_p00311.tif,T39UXT_20200823T072619_20m_stack_maskf_s256_p00311.tif,0,sentinel_no-fire,train,1
34,sentinel,manual,T37TEN_20200808T081609_20m_stack_s256_p00009.tif,T37TEN_20200808T081609_20m_stack_maskf_s256_p00009.tif,0,sentinel_no-fire,train,1
35,sentinel,manual,T37TEN_20200808T081609_20m_stack_s256_p00021.tif,T37TEN_20200808T081609_20m_stack_maskf_s256_p00021.tif,0,sentinel_no-fire,train,1
36,sentinel,manual,T39TWN_20200823T072619_20m_stack_s256_p00118.tif,T39TWN_20200823T072619_20m_stack_maskf_s256_p00118.tif,0,sentinel_no-fire,train,1
37,sentinel,manual,T16SCD_20200815T162839_20m_stack_s256_p00027.tif,T16SCD_20200815T162839_20m_stack_maskf_s256_p00027.tif,0,sentinel_no-fire,train,1
38,sentinel,manual,T22MEA_20200806T135121_20m_stack_s256_p00292.tif,T22MEA_20200806T135121_20m_stack_maskf_s256_p00292.tif,0,sentinel_no-fire,train,1
39,sentinel,manual,T21LVK_20200802T141051_20m_stack_s256_p00184.tif,T21LVK_20200802T141051_20m_stack_maskf_s256_p00184.tif,0,sentinel_no-fire,train,1
40,sentinel,manual,T47RPJ_20200827T034539_20m_stack_s256_p00331.tif,T47RPJ_20200827T034539_20m_stack_maskf_s256_p00331.tif,0,sentinel_no-fire,train,1
41,sentinel,manual,T38SPA_20200823T072619_20m_stack_s256_p00152.tif,T38SPA_20200823T072619_20m_stack_maskf_s256_p00152.tif,0,sentinel_no-fire,train,1
42,sentinel,manual,T38SPA_20200823T072619_20m_stack_s256_p00230.tif,T38SPA_20200823T072619_20m_stack_maskf_s256_p00230.tif,0,sentinel_no-fire,train,1
43,sentinel,manual,T47RPJ_20200827T034539_20m_stack_s256_p00004.tif,T47RPJ_20200827T034539_20m_stack_maskf_s256_p00004.tif,0,sentinel_no-fire,train,1
44,sentinel,manual,T20JQR_20200827T141049_20m_stack_s256_p00019.tif,T20JQR_20200827T141049_20m_stack_maskf_s256_p00019.tif,0,sentinel_no-fire,train,1
45,sentinel,manual,T21WXU_20200825T153911_20m_stack_s256_p00017.tif,T21WXU_20200825T153911_20m_stack_maskf_s256_p00017.tif,0,sentinel_no-fire,train,1
46,sentinel,manual,T30PYB_20200827T102559_20m_stack_s256_p00428.tif,T30PYB_20200827T102559_20m_stack_maskf_s256_p00428.tif,0,sentinel_no-fire,train,1
47,sentinel,manual,T38SPA_20200823T072619_20m_stack_s256_p00253.tif,T38SPA_20200823T072619_20m_stack_maskf_s256_p00253.tif,0,sentinel_no-fire,train,1
48,sentinel,manual,T50TLK_20200810T030551_20m_stack_s256_p00359.tif,T50TLK_20200810T030551_20m_stack_maskf_s256_p00359.tif,0,sentinel_no-fire,train,1
49,sentinel,manual,T55HGV_20200827T000251_20m_stack_s256_p00227.tif,T55HGV_20200827T000251_20m_stack_maskf_s256_p00227.tif,5,sentinel_fire,train,1
50,sentinel,manual,T30PYB_20200827T102559_20m_stack_s256_p00333.tif,T30PYB_20200827T102559_20m_stack_maskf_s256_p00333.tif,0,sentinel_no-fire,train,1
51,sentinel,manual,T30SUG_20200821T105631_20m_stack_s256_p00036.tif,T30SUG_20200821T105631_20m_stack_maskf_s256_p00036.tif,0,sentinel_no-fire,train,1
52,sentinel,manual,T39TWN_20200823T072619_20m_stack_s256_p00142.tif,T39TWN_20200823T072619_20m_stack_maskf_s256_p00142.tif,0,sentinel_no-fire,train,1
53,sentinel,manual,T30SUG_20200821T105631_20m_stack_s256_p00298.tif,T30SUG_20200821T105631_20m_stack_maskf_s256_p00298.tif,18,sentinel_fire,train,1
54,sentinel,manual,T52VFQ_20200821T023551_20m_stack_s256_p00350.tif,T52VFQ_20200821T023551_20m_stack_maskf_s256_p00350.tif,0,sentinel_no-fire,train,1
55,sentinel,manual,T49WFM_20200825T035541_20m_stack_s256_p00297.tif,T49WFM_20200825T035541_20m_stack_maskf_s256_p00297.tif,0,sentinel_no-fire,train,1
56,sentinel,manual,T30SUG_20200821T105631_20m_stack_s256_p00438.tif,T30SUG_20200821T105631_20m_stack_maskf_s256_p00438.tif,0,sentinel_no-fire,train,1
57,sentinel,manual,T38SPA_20200823T072619_20m_stack_s256_p00115.tif,T38SPA_20200823T072619_20m_stack_maskf_s256_p00115.tif,0,sentinel_no-fire,train,1
58,sentinel,manual,T43TGH_20200825T053651_20m_stack_s256_p00272.tif,T43TGH_20200825T053651_20m_stack_maskf_s256_p00272.tif,0,sentinel_no-fire,train,1
59,sentinel,manual,T55HGV_20200827T000251_20m_stack_s256_p00384.tif,T55HGV_20200827T000251_20m_stack_maskf_s256_p00384.tif,0,sentinel_no-fire,train,1
60,sentinel,manual,T49WFM_20200825T035541_20m_stack_s256_p00127.tif,T49WFM_20200825T035541_20m_stack_maskf_s256_p00127.tif,0,sentinel_no-fire,train,1
61,sentinel,manual,T38SPA_20200823T072619_20m_stack_s256_p00011.tif,T38SPA_20200823T072619_20m_stack_maskf_s256_p00011.tif,0,sentinel_no-fire,train,1
62,sentinel,manual,T52LFL_20200812T013719_20m_stack_s256_p00086.tif,T52LFL_20200812T013719_20m_stack_maskf_s256_p00086.tif,0,sentinel_no-fire,train,1
63,sentinel,manual,T21WXU_20200825T153911_20m_stack_s256_p00032.tif,T21WXU_20200825T153911_20m_stack_maskf_s256_p00032.tif,0,sentinel_no-fire,train,1
64,sentinel,manual,T47RPJ_20200827T034539_20m_stack_s256_p00423.tif,T47RPJ_20200827T034539_20m_stack_maskf_s256_p00423.tif,0,sentinel_no-fire,train,1
65,sentinel,manual,T43VED_20200812T061639_20m_stack_s256_p00168.tif,T43VED_20200812T061639_20m_stack_maskf_s256_p00168.tif,0,sentinel_no-fire,train,1
66,sentinel,manual,T36LWL_20200821T073621_20m_stack_s256_p00008.tif,T36LWL_20200821T073621_20m_stack_maskf_s256_p00008.tif,0,sentinel_no-fire,train,1
67,sentinel,manual,T36LWL_20200821T073621_20m_stack_s256_p00375.tif,T36LWL_20200821T073621_20m_stack_maskf_s256_p00375.tif,1,sentinel_fire,train,1
68,sentinel,manual,T35ULR_20200821T092031_20m_stack_s256_p00180.tif,T35ULR_20200821T092031_20m_stack_maskf_s256_p00180.tif,0,sentinel_no-fire,train,1
69,sentinel,manual,T19FDA_20200827T141049_20m_stack_s256_p00386.tif,T19FDA_20200827T141049_20m_stack_maskf_s256_p00386.tif,0,sentinel_no-fire,train,1
70,sentinel,manual,T30UYC_20200821T105631_20m_stack_s256_p00403.tif,T30UYC_20200821T105631_20m_stack_maskf_s256_p00403.tif,0,sentinel_no-fire,train,1
71,sentinel,manual,T37MCM_20200823T072619_20m_stack_s256_p00262.tif,T37MCM_20200823T072619_20m_stack_maskf_s256_p00262.tif,0,sentinel_no-fire,train,1
72,sentinel,manual,T20JQR_20200827T141049_20m_stack_s256_p00010.tif,T20JQR_20200827T141049_20m_stack_maskf_s256_p00010.tif,0,sentinel_no-fire,train,1
73,sentinel,manual,T36LWL_20200821T073621_20m_stack_s256_p00042.tif,T36LWL_20200821T073621_20m_stack_maskf_s256_p00042.tif,0,sentinel_no-fire,train,1
74,sentinel,manual,T30SUG_20200821T105631_20m_stack_s256_p00337.tif,T30SUG_20200821T105631_20m_stack_maskf_s256_p00337.tif,0,sentinel_no-fire,train,1
75,sentinel,manual,T43VED_20200812T061639_20m_stack_s256_p00131.tif,T43VED_20200812T061639_20m_stack_maskf_s256_p00131.tif,0,sentinel_no-fire,train,1
76,sentinel,manual,T47RPJ_20200827T034539_20m_stack_s256_p00029.tif,T47RPJ_20200827T034539_20m_stack_maskf_s256_p00029.tif,0,sentinel_no-fire,train,1
