Unnamed: 0,satellite,annotation,image,mask1,num_fire_pixels,category,set,fold
6897,landsat,manual,LC08_L1TP_157012_20200918_20200918_01_RT_p00968.tif,LC08_L1TP_157012_20200918_20200918_01_RT_v1_p00968.tif,0,landsat_no-fire,train,1
6898,landsat,manual,LC08_L1TP_177044_20200914_20200914_01_RT_p00368.tif,LC08_L1TP_177044_20200914_20200914_01_RT_v1_p00368.tif,0,landsat_no-fire,train,1
6899,landsat,manual,LC08_L1TP_189046_20200918_20200918_01_RT_p00790.tif,LC08_L1TP_189046_20200918_20200918_01_RT_v1_p00790.tif,0,landsat_no-fire,train,1
6900,landsat,manual,LC08_L1GT_226074_20200921_20200921_01_RT_p00327.tif,LC08_L1GT_226074_20200921_20200921_01_RT_v1_p00327.tif,0,landsat_no-fire,train,1
6901,landsat,manual,LC08_L1GT_226074_20200921_20200921_01_RT_p00821.tif,LC08_L1GT_226074_20200921_20200921_01_RT_v1_p00821.tif,0,landsat_no-fire,train,1
6902,landsat,manual,LC08_L1TP_134039_20200901_20200901_01_RT_p00521.tif,LC08_L1TP_134039_20200901_20200901_01_RT_v1_p00521.tif,0,landsat_no-fire,train,1
6903,landsat,manual,LC08_L1TP_177044_20200914_20200914_01_RT_p00107.tif,LC08_L1TP_177044_20200914_20200914_01_RT_v1_p00107.tif,0,landsat_no-fire,train,1
6904,landsat,manual,LC08_L1TP_105069_20200922_20200922_01_RT_p00326.tif,LC08_L1TP_105069_20200922_20200922_01_RT_v1_p00326.tif,0,landsat_no-fire,train,1
6905,landsat,manual,LC08_L1TP_105069_20200922_20200922_01_RT_p00696.tif,LC08_L1TP_105069_20200922_20200922_01_RT_v1_p00696.tif,0,landsat_no-fire,train,1
6906,landsat,manual,LC08_L1TP_003006_20200911_20200911_01_RT_p01019.tif,LC08_L1TP_003006_20200911_20200911_01_RT_v1_p01019.tif,0,landsat_no-fire,train,1
6907,landsat,manual,LC08_L1TP_175074_20200916_20200916_01_RT_p00787.tif,LC08_L1TP_175074_20200916_20200916_01_RT_v1_p00787.tif,0,landsat_no-fire,train,1
6908,landsat,manual,LC08_L1TP_003006_20200911_20200911_01_RT_p00623.tif,LC08_L1TP_003006_20200911_20200911_01_RT_v1_p00623.tif,0,landsat_no-fire,train,1
6909,landsat,manual,LC08_L1TP_046031_20200908_20200908_01_RT_p00381.tif,LC08_L1TP_046031_20200908_20200908_01_RT_v1_p00381.tif,0,landsat_no-fire,train,1
6910,landsat,manual,LC08_L1TP_157012_20200918_20200918_01_RT_p00555.tif,LC08_L1TP_157012_20200918_20200918_01_RT_v1_p00555.tif,0,landsat_no-fire,train,1
6911,landsat,manual,LC08_L1TP_046031_20200908_20200908_01_RT_p00196.tif,LC08_L1TP_046031_20200908_20200908_01_RT_v1_p00196.tif,0,landsat_no-fire,train,1
6912,landsat,manual,LC08_L1TP_105069_20200922_20200922_01_RT_p00369.tif,LC08_L1TP_105069_20200922_20200922_01_RT_v1_p00369.tif,0,landsat_no-fire,train,1
6913,landsat,manual,LC08_L1TP_134039_20200901_20200901_01_RT_p00699.tif,LC08_L1TP_134039_20200901_20200901_01_RT_v1_p00699.tif,0,landsat_no-fire,train,1
6914,landsat,manual,LC08_L1TP_177044_20200914_20200914_01_RT_p00547.tif,LC08_L1TP_177044_20200914_20200914_01_RT_v1_p00547.tif,0,landsat_no-fire,train,1
6915,landsat,manual,LC08_L1TP_003006_20200911_20200911_01_RT_p00837.tif,LC08_L1TP_003006_20200911_20200911_01_RT_v1_p00837.tif,0,landsat_no-fire,train,1
