Unnamed: 0,satellite,annotation,image,mask1,num_fire_pixels,category,set,fold
0,sentinel,manual,T52WES_20200812T025549_20m_stack_p00353.tif,T52WES_20200812T025549_20m_stack_maskf_p00353.tif,0,sentinel_no-fire,train,1
1,sentinel,manual,T37TEN_20200808T081609_20m_stack_p00299.tif,T37TEN_20200808T081609_20m_stack_maskf_p00299.tif,0,sentinel_no-fire,train,1
2,sentinel,manual,T49WFM_20200825T035541_20m_stack_p00060.tif,T49WFM_20200825T035541_20m_stack_maskf_p00060.tif,0,sentinel_no-fire,train,1
3,sentinel,manual,T16SCD_20200815T162839_20m_stack_p00193.tif,T16SCD_20200815T162839_20m_stack_maskf_p00193.tif,0,sentinel_no-fire,train,1
4,sentinel,manual,T55HGV_20200827T000251_20m_stack_p00403.tif,T55HGV_20200827T000251_20m_stack_maskf_p00403.tif,0,sentinel_no-fire,train,1
5,sentinel,manual,T20JQR_20200827T141049_20m_stack_p00401.tif,T20JQR_20200827T141049_20m_stack_maskf_p00401.tif,0,sentinel_no-fire,train,1
6,sentinel,manual,T21WXU_20200825T153911_20m_stack_p00089.tif,T21WXU_20200825T153911_20m_stack_maskf_p00089.tif,0,sentinel_no-fire,train,1
7,sentinel,manual,T52VFQ_20200821T023551_20m_stack_p00362.tif,T52VFQ_20200821T023551_20m_stack_maskf_p00362.tif,0,sentinel_no-fire,train,1
8,sentinel,manual,T50TLK_20200810T030551_20m_stack_p00246.tif,T50TLK_20200810T030551_20m_stack_maskf_p00246.tif,0,sentinel_no-fire,train,1
9,sentinel,manual,T49WFM_20200825T035541_20m_stack_p00012.tif,T49WFM_20200825T035541_20m_stack_maskf_p00012.tif,0,sentinel_no-fire,train,1
10,sentinel,manual,T12TUQ_20200813T181931_20m_stack_p00130.tif,T12TUQ_20200813T181931_20m_stack_maskf_p00130.tif,0,sentinel_no-fire,train,1
11,sentinel,manual,T52WES_20200812T025549_20m_stack_p00127.tif,T52WES_20200812T025549_20m_stack_maskf_p00127.tif,0,sentinel_no-fire,train,1
12,sentinel,manual,T20JQR_20200827T141049_20m_stack_p00241.tif,T20JQR_20200827T141049_20m_stack_maskf_p00241.tif,0,sentinel_no-fire,train,1
13,sentinel,manual,T38SPA_20200823T072619_20m_stack_p00044.tif,T38SPA_20200823T072619_20m_stack_maskf_p00044.tif,0,sentinel_no-fire,train,1
14,sentinel,manual,T50TLK_20200810T030551_20m_stack_p00330.tif,T50TLK_20200810T030551_20m_stack_maskf_p00330.tif,0,sentinel_no-fire,train,1
15,sentinel,manual,T38SPA_20200823T072619_20m_stack_p00415.tif,T38SPA_20200823T072619_20m_stack_maskf_p00415.tif,0,sentinel_no-fire,train,1
16,sentinel,manual,T52LFL_20200812T013719_20m_stack_p00441.tif,T52LFL_20200812T013719_20m_stack_maskf_p00441.tif,0,sentinel_no-fire,train,1
17,sentinel,manual,T19FDA_20200827T141049_20m_stack_p00358.tif,T19FDA_20200827T141049_20m_stack_maskf_p00358.tif,0,sentinel_no-fire,train,1
18,sentinel,manual,T39TWN_20200823T072619_20m_stack_p00279.tif,T39TWN_20200823T072619_20m_stack_maskf_p00279.tif,0,sentinel_no-fire,train,1
19,sentinel,manual,T52WES_20200812T025549_20m_stack_p00354.tif,T52WES_20200812T025549_20m_stack_maskf_p00354.tif,0,sentinel_no-fire,train,1
20,sentinel,manual,T47RPJ_20200827T034539_20m_stack_p00030.tif,T47RPJ_20200827T034539_20m_stack_maskf_p00030.tif,0,sentinel_no-fire,train,1
21,sentinel,manual,T38SPA_20200823T072619_20m_stack_p00349.tif,T38SPA_20200823T072619_20m_stack_maskf_p00349.tif,0,sentinel_no-fire,train,1
22,sentinel,manual,T20JQR_20200827T141049_20m_stack_p00180.tif,T20JQR_20200827T141049_20m_stack_maskf_p00180.tif,0,sentinel_no-fire,train,1
23,sentinel,manual,T39UXT_20200823T072619_20m_stack_p00217.tif,T39UXT_20200823T072619_20m_stack_maskf_p00217.tif,0,sentinel_no-fire,train,1
24,sentinel,manual,T47RPJ_20200827T034539_20m_stack_p00218.tif,T47RPJ_20200827T034539_20m_stack_maskf_p00218.tif,0,sentinel_no-fire,train,1
25,sentinel,manual,T38SPA_20200823T072619_20m_stack_p00229.tif,T38SPA_20200823T072619_20m_stack_maskf_p00229.tif,13,sentinel_fire,train,1
26,sentinel,manual,T20JQR_20200827T141049_20m_stack_p00317.tif,T20JQR_20200827T141049_20m_stack_maskf_p00317.tif,1,sentinel_fire,train,1
27,sentinel,manual,T43TGH_20200825T053651_20m_stack_p00231.tif,T43TGH_20200825T053651_20m_stack_maskf_p00231.tif,0,sentinel_no-fire,train,1
